responseid,workerid,surveyid,questionid,questiontext,questionpos,optionid,optiontext,optionpos,correlation
sr82,AD1ILDUXZHASF,survey1,q_273_2,Please say both words aloud. Which one would you say?,42,comp_276_3,definitely chili-athon,3,vowel
sr82,AD1ILDUXZHASF,survey1,q_93_2,Please say both words aloud. Which one would you say?,43,comp_93_3,definitely china-licious,0,schwa
sr82,AD1ILDUXZHASF,survey1,q_105_2,Please say both words aloud. Which one would you say?,44,comp_108_3,definitely anesthetic-alicious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_153_2,Please say both words aloud. Which one would you say?,45,comp_156_3,definitely silverware-alicious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_329_2,Please say both words aloud. Which one would you say?,46,comp_332_3,definitely commandment-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_217_2,Please say both words aloud. Which one would you say?,47,comp_220_3,definitely champagne-athon,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_53_2,Please say both words aloud. Which one would you say?,48,comp_56_3,definitely marine-alicious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_345_2,Please say both words aloud. Which one would you say?,49,comp_348_3,definitely silverware-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_365_2,Please say both words aloud. Which one would you say?,50,comp_368_3,definitely antidote-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_69_2,Please say both words aloud. Which one would you say?,51,comp_72_3,definitely office-alicious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_97_2,Please say both words aloud. Which one would you say?,52,comp_97_3,definitely cuba-licious,3,schwa
sr82,AD1ILDUXZHASF,survey1,q_165_2,Please say both words aloud. Which one would you say?,53,comp_168_3,definitely valentine-alicious,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_289_2,Please say both words aloud. Which one would you say?,54,comp_289_3,definitely cuba-thon,0,schwa
sr82,AD1ILDUXZHASF,survey1,q_293_2,Please say both words aloud. Which one would you say?,55,comp_293_3,definitely drama-thon,3,schwa
sr82,AD1ILDUXZHASF,survey1,q_385_2,Please say both words aloud. Which one would you say?,56,comp_385_3,definitely spaghetti-thon,3,vowel
sr82,AD1ILDUXZHASF,survey1,q_49_2,Please say both words aloud. Which one would you say?,57,comp_52_3,definitely cologne-alicious,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_341_2,Please say both words aloud. Which one would you say?,58,comp_344_3,definitely asylum-athon,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_89_2,Please say both words aloud. Which one would you say?,59,comp_89_3,definitely hero-licious,3,vowel
sr82,AD1ILDUXZHASF,survey1,q_173_2,Please say both words aloud. Which one would you say?,60,comp_173_3,definitely antidote-licious,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_321_2,Please say both words aloud. Which one would you say?,61,comp_324_3,definitely ceramic-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_73_2,Please say both words aloud. Which one would you say?,62,comp_76_3,definitely patrick-alicious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_229_2,Please say both words aloud. Which one would you say?,63,comp_232_3,definitely grenade-athon,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_85_2,Please say both words aloud. Which one would you say?,64,comp_88_3,definitely mayo-alicious,3,vowel
sr82,AD1ILDUXZHASF,survey1,q_209_2,Please say both words aloud. Which one would you say?,65,comp_212_3,definitely berlin-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_237_2,Please say both words aloud. Which one would you say?,66,comp_240_3,definitely japan-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_61_2,Please say both words aloud. Which one would you say?,67,comp_61_3,definitely secret-licious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_197_2,Please say both words aloud. Which one would you say?,68,comp_197_3,definitely miami-licious,0,vowel
sr82,AD1ILDUXZHASF,survey1,q_125_2,Please say both words aloud. Which one would you say?,69,comp_128_3,definitely coliseum-alicious,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_225_2,Please say both words aloud. Which one would you say?,70,comp_228_3,definitely estate-athon,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_249_2,Please say both words aloud. Which one would you say?,71,comp_249_3,definitely decade-thon,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_369_2,Please say both words aloud. Which one would you say?,72,comp_369_3,definitely antenna-thon,3,schwa
sr82,AD1ILDUXZHASF,survey1,q_65_2,Please say both words aloud. Which one would you say?,73,comp_68_3,definitely magic-alicious,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_305_2,Please say both words aloud. Which one would you say?,74,comp_308_3,definitely orthodonist-athon,0,consonant
sr82,AD1ILDUXZHASF,survey1,q_261_2,Please say both words aloud. Which one would you say?,75,comp_261_3,definitely office-thon,3,consonant
sr82,AD1ILDUXZHASF,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr83,A2YPGARAKET7N5,survey1,q_273_2,Please say both words aloud. Which one would you say?,33,comp_275_3,probably chili-athon,2,vowel
sr83,A2YPGARAKET7N5,survey1,q_2_2,What is your age?,0,comp_2_3,18-25,0,
sr83,A2YPGARAKET7N5,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,0,
sr83,A2YPGARAKET7N5,survey1,q_89_2,Please say both words aloud. Which one would you say?,2,comp_89_3,definitely hero-licious,0,vowel
sr83,A2YPGARAKET7N5,survey1,q_329_2,Please say both words aloud. Which one would you say?,3,comp_331_3,probably commandment-athon,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_289_2,Please say both words aloud. Which one would you say?,4,comp_290_3,probably cuba-thon,2,schwa
sr83,A2YPGARAKET7N5,survey1,q_77_2,Please say both words aloud. Which one would you say?,5,comp_78_3,probably omelet-licious,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_37_2,Please say both words aloud. Which one would you say?,6,comp_39_3,probably grenade-alicious,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_365_2,Please say both words aloud. Which one would you say?,7,comp_366_3,probably antidote-thon,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_21_2,Please say both words aloud. Which one would you say?,8,comp_24_3,definitely typhoon-alicious,3,consonant
sr83,A2YPGARAKET7N5,survey1,q_257_2,Please say both words aloud. Which one would you say?,9,comp_257_3,definitely magic-thon,0,consonant
sr83,A2YPGARAKET7N5,survey1,q_121_2,Please say both words aloud. Which one would you say?,10,comp_122_3,probably penicillin-licious,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_377_2,Please say both words aloud. Which one would you say?,11,comp_377_3,definitely korea-thon,3,schwa
sr83,A2YPGARAKET7N5,survey1,q_281_2,Please say both words aloud. Which one would you say?,12,comp_283_3,probably hero-athon,1,vowel
sr83,A2YPGARAKET7N5,survey1,q_25_2,Please say both words aloud. Which one would you say?,13,comp_27_3,probably champagne-alicious,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_61_2,Please say both words aloud. Which one would you say?,14,comp_62_3,probably secret-licious,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_381_2,Please say both words aloud. Which one would you say?,15,comp_383_3,probably placebo-athon,1,vowel
sr83,A2YPGARAKET7N5,survey1,q_221_2,Please say both words aloud. Which one would you say?,16,comp_221_3,definitely cayenne-thon,3,consonant
sr83,A2YPGARAKET7N5,survey1,q_177_2,Please say both words aloud. Which one would you say?,17,comp_178_3,probably antenna-licious,1,schwa
sr83,A2YPGARAKET7N5,survey1,q_125_2,Please say both words aloud. Which one would you say?,18,comp_127_3,probably coliseum-alicious,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_201_2,Please say both words aloud. Which one would you say?,19,comp_204_3,definitely corvette-athon,0,consonant
sr83,A2YPGARAKET7N5,survey1,q_333_2,Please say both words aloud. Which one would you say?,20,comp_334_3,probably eleven-thon,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_205_2,Please say both words aloud. Which one would you say?,21,comp_207_3,probably stampede-athon,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_321_2,Please say both words aloud. Which one would you say?,22,comp_324_3,definitely ceramic-athon,0,consonant
sr83,A2YPGARAKET7N5,survey1,q_361_2,Please say both words aloud. Which one would you say?,23,comp_362_3,probably nicotine-thon,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_369_2,Please say both words aloud. Which one would you say?,24,comp_372_3,definitely antenna-athon,0,schwa
sr83,A2YPGARAKET7N5,survey1,q_53_2,Please say both words aloud. Which one would you say?,25,comp_54_3,probably marine-licious,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_97_2,Please say both words aloud. Which one would you say?,26,comp_98_3,probably cuba-licious,2,schwa
sr83,A2YPGARAKET7N5,survey1,q_241_2,Please say both words aloud. Which one would you say?,27,comp_243_3,probably cologne-athon,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_13_2,Please say both words aloud. Which one would you say?,28,comp_13_3,definitely stampede-licious,0,consonant
sr83,A2YPGARAKET7N5,survey1,q_65_2,Please say both words aloud. Which one would you say?,29,comp_66_3,probably magic-licious,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_253_2,Please say both words aloud. Which one would you say?,30,comp_254_3,probably secret-thon,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_349_2,Please say both words aloud. Which one would you say?,31,comp_350_3,probably universe-thon,1,consonant
sr83,A2YPGARAKET7N5,survey1,q_129_2,Please say both words aloud. Which one would you say?,32,comp_131_3,probably ceramic-alicious,2,consonant
sr83,A2YPGARAKET7N5,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr84,A1BM57TUNAQIXM,survey1,q_-1_-1,N/A,-1,comp_-1_-1,N/A,-1,
sr84,A1BM57TUNAQIXM,survey1,q_2_2,What is your age?,0,comp_3_3,26-35,1,
sr84,A1BM57TUNAQIXM,survey1,q_7_2,Are you a native speaker of English?,1,comp_7_3,Yes,1,
sr84,A1BM57TUNAQIXM,survey1,q_101_2,Please say both words aloud. Which one would you say?,2,comp_101_3,definitely drama-licious,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_181_2,Please say both words aloud. Which one would you say?,3,comp_181_3,definitely banana-licious,0,schwa
sr84,A1BM57TUNAQIXM,survey1,q_29_2,Please say both words aloud. Which one would you say?,4,comp_30_3,probably cayenne-licious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_137_2,Please say both words aloud. Which one would you say?,5,comp_138_3,probably commandment-licious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_237_2,Please say both words aloud. Which one would you say?,6,comp_240_3,definitely japan-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_301_2,Please say both words aloud. Which one would you say?,7,comp_304_3,definitely affidavit-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_145_2,Please say both words aloud. Which one would you say?,8,comp_145_3,definitely opinion-licious,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_89_2,Please say both words aloud. Which one would you say?,9,comp_90_3,probably hero-licious,1,vowel
sr84,A1BM57TUNAQIXM,survey1,q_93_2,Please say both words aloud. Which one would you say?,10,comp_93_3,definitely china-licious,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_289_2,Please say both words aloud. Which one would you say?,11,comp_289_3,definitely cuba-thon,0,schwa
sr84,A1BM57TUNAQIXM,survey1,q_33_2,Please say both words aloud. Which one would you say?,12,comp_35_3,probably estate-alicious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_49_2,Please say both words aloud. Which one would you say?,13,comp_51_3,probably cologne-alicious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_13_2,Please say both words aloud. Which one would you say?,14,comp_16_3,definitely stampede-alicious,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_169_2,Please say both words aloud. Which one would you say?,15,comp_169_3,definitely nicotine-licious,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_65_2,Please say both words aloud. Which one would you say?,16,comp_66_3,probably magic-licious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_113_2,Please say both words aloud. Which one would you say?,17,comp_114_3,probably orthodonist-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_141_2,Please say both words aloud. Which one would you say?,18,comp_142_3,probably eleven-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_353_2,Please say both words aloud. Which one would you say?,19,comp_356_3,definitely hurricane-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_333_2,Please say both words aloud. Which one would you say?,20,comp_335_3,probably eleven-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_117_2,Please say both words aloud. Which one would you say?,21,comp_118_3,probably meditation-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_205_2,Please say both words aloud. Which one would you say?,22,comp_207_3,probably stampede-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_377_2,Please say both words aloud. Which one would you say?,23,comp_377_3,definitely korea-thon,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_365_2,Please say both words aloud. Which one would you say?,24,comp_368_3,definitely antidote-athon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_121_2,Please say both words aloud. Which one would you say?,25,comp_122_3,probably penicillin-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_165_2,Please say both words aloud. Which one would you say?,26,comp_167_3,probably valentine-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_45_2,Please say both words aloud. Which one would you say?,27,comp_47_3,probably japan-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_269_2,Please say both words aloud. Which one would you say?,28,comp_272_3,definitely omelet-athon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_21_2,Please say both words aloud. Which one would you say?,29,comp_23_3,probably typhoon-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_273_2,Please say both words aloud. Which one would you say?,30,comp_273_3,definitely chili-thon,3,vowel
sr84,A1BM57TUNAQIXM,survey1,q_109_2,Please say both words aloud. Which one would you say?,31,comp_110_3,probably affidavit-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_229_2,Please say both words aloud. Which one would you say?,32,comp_232_3,definitely grenade-athon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_25_2,Please say both words aloud. Which one would you say?,33,comp_26_3,probably champagne-licious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_153_2,Please say both words aloud. Which one would you say?,34,comp_154_3,probably silverware-licious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_361_2,Please say both words aloud. Which one would you say?,35,comp_364_3,definitely nicotine-athon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_341_2,Please say both words aloud. Which one would you say?,36,comp_343_3,probably asylum-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_277_2,Please say both words aloud. Which one would you say?,37,comp_279_3,probably mayo-athon,2,vowel
sr84,A1BM57TUNAQIXM,survey1,q_381_2,Please say both words aloud. Which one would you say?,38,comp_383_3,probably placebo-athon,1,vowel
sr84,A1BM57TUNAQIXM,survey1,q_185_2,Please say both words aloud. Which one would you say?,39,comp_185_3,definitely korea-licious,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_61_2,Please say both words aloud. Which one would you say?,40,comp_62_3,probably secret-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_73_2,Please say both words aloud. Which one would you say?,41,comp_73_3,definitely patrick-licious,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_69_2,Please say both words aloud. Which one would you say?,42,comp_69_3,definitely office-licious,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_261_2,Please say both words aloud. Which one would you say?,43,comp_264_3,definitely office-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_349_2,Please say both words aloud. Which one would you say?,44,comp_352_3,definitely universe-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_149_2,Please say both words aloud. Which one would you say?,45,comp_150_3,probably asylum-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_321_2,Please say both words aloud. Which one would you say?,46,comp_323_3,probably ceramic-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_241_2,Please say both words aloud. Which one would you say?,47,comp_243_3,probably cologne-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_329_2,Please say both words aloud. Which one would you say?,48,comp_331_3,probably commandment-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_97_2,Please say both words aloud. Which one would you say?,49,comp_97_3,definitely cuba-licious,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_285_2,Please say both words aloud. Which one would you say?,50,comp_285_3,definitely china-thon,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_193_2,Please say both words aloud. Which one would you say?,51,comp_193_3,definitely spaghetti-licious,0,vowel
sr84,A1BM57TUNAQIXM,survey1,q_265_2,Please say both words aloud. Which one would you say?,52,comp_266_3,probably patrick-thon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_37_2,Please say both words aloud. Which one would you say?,53,comp_39_3,probably grenade-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_313_2,Please say both words aloud. Which one would you say?,54,comp_315_3,probably penicillin-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_133_2,Please say both words aloud. Which one would you say?,55,comp_133_3,definitely detective-licious,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_85_2,Please say both words aloud. Which one would you say?,56,comp_86_3,probably mayo-licious,1,vowel
sr84,A1BM57TUNAQIXM,survey1,q_297_2,Please say both words aloud. Which one would you say?,57,comp_299_3,probably anesthetic-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_53_2,Please say both words aloud. Which one would you say?,58,comp_55_3,probably marine-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_233_2,Please say both words aloud. Which one would you say?,59,comp_236_3,definitely balloon-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_357_2,Please say both words aloud. Which one would you say?,60,comp_359_3,probably valentine-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_325_2,Please say both words aloud. Which one would you say?,61,comp_327_3,probably detective-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_189_2,Please say both words aloud. Which one would you say?,62,comp_189_3,definitely placebo-licious,3,vowel
sr84,A1BM57TUNAQIXM,survey1,q_281_2,Please say both words aloud. Which one would you say?,63,comp_282_3,probably hero-thon,2,vowel
sr84,A1BM57TUNAQIXM,survey1,q_41_2,Please say both words aloud. Which one would you say?,64,comp_44_3,definitely balloon-alicious,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_369_2,Please say both words aloud. Which one would you say?,65,comp_370_3,probably antenna-thon,1,schwa
sr84,A1BM57TUNAQIXM,survey1,q_385_2,Please say both words aloud. Which one would you say?,66,comp_386_3,probably spaghetti-thon,1,vowel
sr84,A1BM57TUNAQIXM,survey1,q_81_2,Please say both words aloud. Which one would you say?,67,comp_81_3,definitely chili-licious,3,vowel
sr84,A1BM57TUNAQIXM,survey1,q_337_2,Please say both words aloud. Which one would you say?,68,comp_337_3,definitely opinion-thon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_105_2,Please say both words aloud. Which one would you say?,69,comp_108_3,definitely anesthetic-alicious,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_17_2,Please say both words aloud. Which one would you say?,70,comp_17_3,definitely berlin-licious,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_309_2,Please say both words aloud. Which one would you say?,71,comp_310_3,probably meditation-thon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_305_2,Please say both words aloud. Which one would you say?,72,comp_307_3,probably orthodonist-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_197_2,Please say both words aloud. Which one would you say?,73,comp_197_3,definitely miami-licious,3,vowel
sr84,A1BM57TUNAQIXM,survey1,q_217_2,Please say both words aloud. Which one would you say?,74,comp_220_3,definitely champagne-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_213_2,Please say both words aloud. Which one would you say?,75,comp_216_3,definitely typhoon-athon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_173_2,Please say both words aloud. Which one would you say?,76,comp_175_3,probably antidote-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_389_2,Please say both words aloud. Which one would you say?,77,comp_390_3,probably miami-thon,2,vowel
sr84,A1BM57TUNAQIXM,survey1,q_293_2,Please say both words aloud. Which one would you say?,78,comp_293_3,definitely drama-thon,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_245_2,Please say both words aloud. Which one would you say?,79,comp_248_3,definitely marine-athon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_77_2,Please say both words aloud. Which one would you say?,80,comp_77_3,definitely omelet-licious,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_225_2,Please say both words aloud. Which one would you say?,81,comp_227_3,probably estate-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_57_2,Please say both words aloud. Which one would you say?,82,comp_59_3,probably decade-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_373_2,Please say both words aloud. Which one would you say?,83,comp_373_3,definitely banana-thon,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_125_2,Please say both words aloud. Which one would you say?,84,comp_127_3,probably coliseum-alicious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_249_2,Please say both words aloud. Which one would you say?,85,comp_251_3,probably decade-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_129_2,Please say both words aloud. Which one would you say?,86,comp_130_3,probably ceramic-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_201_2,Please say both words aloud. Which one would you say?,87,comp_204_3,definitely corvette-athon,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_257_2,Please say both words aloud. Which one would you say?,88,comp_257_3,definitely magic-thon,3,consonant
sr84,A1BM57TUNAQIXM,survey1,q_157_2,Please say both words aloud. Which one would you say?,89,comp_158_3,probably universe-licious,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_317_2,Please say both words aloud. Which one would you say?,90,comp_319_3,probably coliseum-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_9_2,Please say both words aloud. Which one would you say?,91,comp_10_3,probably corvette-licious,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_209_2,Please say both words aloud. Which one would you say?,92,comp_211_3,probably berlin-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_177_2,Please say both words aloud. Which one would you say?,93,comp_177_3,definitely antenna-licious,3,schwa
sr84,A1BM57TUNAQIXM,survey1,q_345_2,Please say both words aloud. Which one would you say?,94,comp_347_3,probably silverware-athon,1,consonant
sr84,A1BM57TUNAQIXM,survey1,q_161_2,Please say both words aloud. Which one would you say?,95,comp_161_3,definitely hurricane-licious,0,consonant
sr84,A1BM57TUNAQIXM,survey1,q_253_2,Please say both words aloud. Which one would you say?,96,comp_255_3,probably secret-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_221_2,Please say both words aloud. Which one would you say?,97,comp_223_3,probably cayenne-athon,2,consonant
sr84,A1BM57TUNAQIXM,survey1,q_-1_-1,,-1,comp_-1_-1,,-1,
sr85,A2WQ3ZGXUF5FHO,survey1,q_-1_-1,Was a weird survey.,-1,comp_-1_-1,Was a weird survey.,-1,
sr85,A2WQ3ZGXUF5FHO,survey1,q_7_2,Are you a native speaker of English?,0,comp_7_3,Yes,0,
sr85,A2WQ3ZGXUF5FHO,survey1,q_2_2,What is your age?,1,comp_3_3,26-35,1,
sr85,A2WQ3ZGXUF5FHO,survey1,q_177_2,Please say both words aloud. Which one would you say?,2,comp_178_3,probably antenna-licious,2,schwa
sr85,A2WQ3ZGXUF5FHO,survey1,q_29_2,Please say both words aloud. Which one would you say?,3,comp_30_3,probably cayenne-licious,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_205_2,Please say both words aloud. Which one would you say?,4,comp_206_3,probably stampede-thon,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_25_2,Please say both words aloud. Which one would you say?,5,comp_28_3,definitely champagne-alicious,0,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_373_2,Please say both words aloud. Which one would you say?,6,comp_373_3,definitely banana-thon,3,schwa
sr85,A2WQ3ZGXUF5FHO,survey1,q_21_2,Please say both words aloud. Which one would you say?,7,comp_23_3,probably typhoon-alicious,1,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_161_2,Please say both words aloud. Which one would you say?,8,comp_163_3,probably hurricane-alicious,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_49_2,Please say both words aloud. Which one would you say?,9,comp_52_3,definitely cologne-alicious,3,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_253_2,Please say both words aloud. Which one would you say?,10,comp_255_3,probably secret-athon,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_225_2,Please say both words aloud. Which one would you say?,11,comp_226_3,probably estate-thon,1,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_185_2,Please say both words aloud. Which one would you say?,12,comp_185_3,definitely korea-licious,3,schwa
sr85,A2WQ3ZGXUF5FHO,survey1,q_181_2,Please say both words aloud. Which one would you say?,13,comp_181_3,definitely banana-licious,3,schwa
sr85,A2WQ3ZGXUF5FHO,survey1,q_45_2,Please say both words aloud. Which one would you say?,14,comp_48_3,definitely japan-alicious,0,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_297_2,Please say both words aloud. Which one would you say?,15,comp_298_3,probably anesthetic-thon,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_321_2,Please say both words aloud. Which one would you say?,16,comp_322_3,probably ceramic-thon,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_241_2,Please say both words aloud. Which one would you say?,17,comp_243_3,probably cologne-athon,1,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_325_2,Please say both words aloud. Which one would you say?,18,comp_328_3,definitely detective-athon,0,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_381_2,Please say both words aloud. Which one would you say?,19,comp_383_3,probably placebo-athon,1,vowel
sr85,A2WQ3ZGXUF5FHO,survey1,q_77_2,Please say both words aloud. Which one would you say?,20,comp_80_3,definitely omelet-alicious,0,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_153_2,Please say both words aloud. Which one would you say?,21,comp_154_3,probably silverware-licious,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_137_2,Please say both words aloud. Which one would you say?,22,comp_139_3,probably commandment-alicious,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_201_2,Please say both words aloud. Which one would you say?,23,comp_204_3,definitely corvette-athon,0,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_65_2,Please say both words aloud. Which one would you say?,24,comp_65_3,definitely magic-licious,0,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_61_2,Please say both words aloud. Which one would you say?,25,comp_63_3,probably secret-alicious,1,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_101_2,Please say both words aloud. Which one would you say?,26,comp_101_3,definitely drama-licious,3,schwa
sr85,A2WQ3ZGXUF5FHO,survey1,q_53_2,Please say both words aloud. Which one would you say?,27,comp_55_3,probably marine-alicious,1,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_17_2,Please say both words aloud. Which one would you say?,28,comp_18_3,probably berlin-licious,2,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_357_2,Please say both words aloud. Which one would you say?,29,comp_360_3,definitely valentine-athon,3,consonant
sr85,A2WQ3ZGXUF5FHO,survey1,q_93_2,Please say both words aloud. Which one would you say?,30,comp_94_3,probably china-licious,2,schwa
